         31394 function calls (31360 primitive calls) in 99.534 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:297(__enter__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:834(__enter__)
        9    0.000    0.000    0.000    0.000 arrayprint.py:674(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:239(parse_paths)
        1    0.000    0.000    0.051    0.051 gdal.py:3009(Open)
        1    0.000    0.000    0.000    0.000 {method 'get_extent' of 'fiona.ogrext.Session' objects}
        1    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'stop' of 'rasterio._env.GDALEnv' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
        7    0.000    0.000    0.000    0.000 _methods.py:37(_any)
        6    0.000    0.000    0.000    0.000 Primitive.py:23(__repr__)
        1    0.000    0.000    0.123    0.123 Primitive.py:29(__eq__)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of 'fiona._drivers.GDALEnv' objects}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       13    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        1    0.000    0.000    1.823    1.823 Primitive.py:39(__lt__)
        1    0.000    0.000    0.000    0.000 {built-in method _gdal_array.VirtualMem_swigregister}
        9    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
        6    0.000    0.000    0.000    0.000 os.py:726(check_str)
        1    0.000    0.000    0.000    0.000 transform.py:21(guard_transform)
        1    0.000    0.000    0.000    0.000 gdal.py:1484(GetMetadataItem)
        1    0.000    0.000    0.000    0.000 gdal.py:2925(AllRegister)
