Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..py:255 MultiprocessingEngine.merge  1      0.000000  0.000000  0.000000
..ZMQInteractiveShell.user_global_ns  2      0.000000  0.000000  0.000000
..p>:153 _ModuleLockManager.__exit__  10     0.000000  0.000000  0.000000
<frozen importlib._bootstrap>:173 cb  10     0.000000  0.000000  0.000000
..bootstrap_external>:1149 find_spec  9      0.000000  0.000000  0.000000
..ocess.py:125 SpawnProcess.is_alive  6      0.000000  0.000000  0.000000
..\managers.py:599 _finalize_manager  1      0.000000  0.000000  0.000000
..urceFileLoader._check_name_wrapper  8      0.000000  0.000000  0.000000
..xternal>:1080 _path_importer_cache  9      0.000000  0.000000  0.000000
..3\lib\random.py:87 Random.__init__  2      0.000000  0.000000  0.000000
..ges\osgeo\gdal.py:2925 AllRegister  1      0.000000  0.000000  0.000000
..ib\threading.py:263 Condition.wait  7/6    0.000000  0.000000  0.000000
..a3\lib\random.py:252 Random.choice  40     0.000000  0.000000  0.000000
..ocessing\managers.py:909 AutoProxy  2      0.000000  0.000000  0.000000
..processing\managers.py:11 <module>  1      0.000000  0.000000  0.000000
..b\weakref.py:310 KeyedRef.__init__  5      0.000000  0.000000  0.000000
..bootstrap_external>:37 _relax_case  9      0.000000  0.000000  0.000000
..n.py:121 _check_not_importing_main  5      0.000000  0.000000  0.000000
..ng\context.py:64 SpawnContext.Lock  2      0.000000  0.000000  0.000000
..rs.py:678 ProcessLocalSet.__init__  1      0.000000  0.000000  0.000000
..ing\pool.py:583 MapResult.__init__  1      0.000000  0.000000  0.000000
..onda3\lib\random.py:96 Random.seed  2      0.000000  0.000000  0.000000
..conda3\lib\queue.py:206 Queue._put  2      0.000000  0.000000  0.000000
..gdal.py:1822 Dataset.GetRasterBand  1      0.000000  0.000000  0.000000
..ion.py:117 PipeConnection.__init__  16     0.000000  0.000000  0.000000
..sing\managers.py:1035 BarrierProxy  1      0.000000  0.000000  0.000000
