Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..rint.py:713 ComplexFormat.__init__  3      0.000000  0.000000  0.000000
..um\Anaconda3\lib\uuid.py:600 uuid4  1      0.000000  0.000000  0.000000
..mpy\lib\function_base.py:1709 diff  1      0.000000  0.000000  0.000000
..re\arrayprint.py:315 _array2string  3      0.000000  0.000000  0.000000
..ollection.py:180 Collection.driver  49     0.000000  0.000000  0.000000
..rint.py:665 IntegerFormat.__call__  106    0.000000  0.000000  0.000000
..bootstrap_external>:1117 _get_spec  3      0.000000  0.000000  0.000000
..ore\arrayprint.py:340 array2string  260..  0.000000  0.000000  0.000000
..packages\fiona\__init__.py:90 open  1      0.000000  0.000000  0.000000
..conda3\lib\imp.py:330 load_dynamic  1      0.000000  0.000000  0.000000
..y:173 Collection.guard_driver_mode  1      0.000000  0.000000  0.000000
..ap>:304 _installed_safely.__exit__  4      0.000000  0.000000  0.000000
..o\gdal.py:58 Dataset._swig_setattr  2      0.000000  0.000000  0.000000
..ackages\rasterio\env.py:255 delenv  1      0.000000  0.000000  0.000000
..y\lib\function_base.py:4951 append  1      0.000000  0.000000  0.000000
..InteractiveShell.pre_run_code_hook  2      0.000000  0.000000  0.000000
..rrayprint.py:208 _leading_trailing  1      0.000000  0.000000  0.000000
..\bobs\Bobs.py:78 KeyValue.__init__  2      0.000000  0.000000  0.000000
..\rasterio\dtypes.py:130 is_ndarray  2      0.000000  0.000000  0.000000
..mitives.py:57 AveragePrim.__call__  1      0.000000  0.000000  0.000000
..ootstrap_external>:94 _path_isfile  3      0.000000  0.000000  0.000000
..b._bootstrap>:553 module_from_spec  4      0.000000  0.000000  0.000000
..s\rasterio\env.py:200 Env.__exit__  1      0.000000  0.000000  0.000000
.._bootstrap>:77 _ModuleLock.acquire  4      0.000000  0.000000  0.000000
..naconda3\lib\ntpath.py:240 dirname  1      0.000000  0.000000  0.000000
..sterio\transform.py:34 from_origin  1      0.000000  0.000000  0.000000
..l>:840 SourceFileLoader.path_stats  2      0.000000  0.000000  0.000000
..ap>:293 _installed_safely.__init__  4      0.000000  0.000000  0.000000
..ore\arrayprint.py:475 _formatArray  3      0.000000  0.000000  0.000000
..ages\rasterio\env.py:183 <setcomp>  1      0.000000  0.000000  0.000000
..numpy\core\fromnumeric.py:1866 any  7      0.000000  0.000000  0.000000
..numeric.py:3089 errstate.__enter__  9      0.000000  0.000000  0.000000
..ernal>:524 spec_from_file_location  3      0.000000  0.000000  0.000000
..bootstrap_external>:37 _relax_case  3      0.000000  0.000000  0.000000
..:825 SourceFileLoader.get_filename  2      0.000000  0.000000  0.000000
..ollection.py:412 Collection.closed  1      0.000000  0.000000  0.000000
..mpy\core\arrayprint.py:642 _digits  110    0.000000  0.000000  0.000000
..io\transform.py:21 guard_transform  1      0.000000  0.000000  0.000000
..mpy\core\fromnumeric.py:1364 ravel  3      0.000000  0.000000  0.000000
..portlib._bootstrap>:35 _new_module  2      0.000000  0.000000  0.000000
..al.py:1842 Dataset.GetGeoTransform  1      0.000000  0.000000  0.000000
..m.py:297 OutStream._schedule_flush  2186   0.000000  0.000000  0.000000
..\fiona\__init__.py:239 parse_paths  1      0.000000  0.000000  0.000000
..27 ExtensionFileLoader.exec_module  2      0.000000  0.000000  0.000000
..onda3\lib\genericpath.py:27 isfile  3      0.000000  0.000000  0.000000
..>:834 _ImportLockContext.__enter__  9      0.000000  0.000000  0.000000
..\lib\threading.py:506 Event.is_set  2295   0.000000  0.000000  0.000000
..aconda3\lib\imp.py:254 find_module  1      0.000000  0.000000  0.000000
..._bootstrap>:389 ModuleSpec.cached  5      0.000000  0.000000  0.000000
..\Anaconda3\lib\os.py:726 check_str  6      0.000000  0.000000  0.000000
.._.py:1528 Logger.getEffectiveLevel  23     0.000000  0.000000  0.000000
..\Anaconda3\lib\os.py:732 encodekey  6      0.000000  0.000000  0.000000
..\Anaconda3\lib\ntpath.py:199 split  1      0.000000  0.000000  0.000000
.. ExtensionFileLoader.create_module  2      0.000000  0.000000  0.000000
..affine\__init__.py:166 translation  1      0.000000  0.000000  0.000000
.._bootstrap_external>:75 _path_stat  8      0.000000  0.000000  0.000000
..lib\os.py:664 _Environ.__getitem__  6      0.000000  0.000000  0.000000
..lection.py:311 Collection.__iter__  1      0.000000  0.000000  0.000000
..yprint.py:273 _get_format_function  3      0.000000  0.000000  0.000000
..bootstrap>:355 ModuleSpec.__init__  4      0.000000  0.000000  0.000000
..IO.py:183 ShapefileNewReadPrim.reg  1      0.000000  0.000000  0.000000
..ts\traitlets.py:1673 List.validate  2      0.000000  0.000000  0.000000
